protocol_id,preprocessing_protocol,trace_protocol,kernel_normalization,seed,q,model,model_f1,baseline_f1,baseline,delta_f1
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,7,6,qsvm,0.0,0.7368421052631579,rbf_tuned,-0.7368421052631579
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,8,6,qsvm,0.0,0.7272727272727273,rbf_tuned,-0.7272727272727273
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,9,6,qsvm,0.0,0.9090909090909092,rbf_tuned,-0.9090909090909092
train_only__legacy_trace,train_only,,none,0,4,merlin_fidelity,0.8571428571428571,0.8695652173913043,linear_c1,-0.012422360248447228
train_only__legacy_trace,train_only,,none,1,4,merlin_fidelity,0.8461538461538461,0.8,linear_c1,0.0461538461538461
train_only__legacy_trace,train_only,,none,2,4,merlin_fidelity,0.7741935483870968,0.6896551724137931,linear_c1,0.0845383759733036
train_only__legacy_trace,train_only,,none,3,4,merlin_fidelity,0.6,0.6363636363636364,linear_c1,-0.036363636363636376
train_only__legacy_trace,train_only,,none,4,4,merlin_fidelity,0.6428571428571429,0.7857142857142857,linear_c1,-0.1428571428571428
train_only__legacy_trace,train_only,,none,5,4,merlin_fidelity,0.88,0.8461538461538461,linear_c1,0.03384615384615386
train_only__legacy_trace,train_only,,none,6,4,merlin_fidelity,0.8695652173913043,0.8181818181818182,linear_c1,0.05138339920948609
train_only__legacy_trace,train_only,,none,7,4,merlin_fidelity,0.5,0.7058823529411765,linear_c1,-0.20588235294117652
train_only__legacy_trace,train_only,,none,8,4,merlin_fidelity,0.7272727272727273,0.6666666666666666,linear_c1,0.06060606060606066
train_only__legacy_trace,train_only,,none,9,4,merlin_fidelity,0.8571428571428571,0.7619047619047619,linear_c1,0.09523809523809523
train_only__legacy_trace,train_only,,none,0,4,merlin_fidelity,0.8571428571428571,0.8181818181818182,rbf_tuned,0.03896103896103886
train_only__legacy_trace,train_only,,none,1,4,merlin_fidelity,0.8461538461538461,0.8571428571428571,rbf_tuned,-0.01098901098901095
train_only__legacy_trace,train_only,,none,2,4,merlin_fidelity,0.7741935483870968,0.75,rbf_tuned,0.024193548387096753
train_only__legacy_trace,train_only,,none,3,4,merlin_fidelity,0.6,0.6666666666666666,rbf_tuned,-0.06666666666666665
train_only__legacy_trace,train_only,,none,4,4,merlin_fidelity,0.6428571428571429,0.72,rbf_tuned,-0.07714285714285707
train_only__legacy_trace,train_only,,none,5,4,merlin_fidelity,0.88,0.9166666666666666,rbf_tuned,-0.036666666666666625
train_only__legacy_trace,train_only,,none,6,4,merlin_fidelity,0.8695652173913043,0.8181818181818182,rbf_tuned,0.05138339920948609
train_only__legacy_trace,train_only,,none,7,4,merlin_fidelity,0.5,0.5,rbf_tuned,0.0
train_only__legacy_trace,train_only,,none,8,4,merlin_fidelity,0.7272727272727273,0.6956521739130435,rbf_tuned,0.031620553359683834
train_only__legacy_trace,train_only,,none,9,4,merlin_fidelity,0.8571428571428571,0.8571428571428571,rbf_tuned,0.0
train_only__legacy_trace,train_only,legacy_square_only,,0,4,qsvm,0.8181818181818182,0.8695652173913043,linear_c1,-0.05138339920948609
train_only__legacy_trace,train_only,legacy_square_only,,1,4,qsvm,0.8125,0.8,linear_c1,0.012499999999999956
train_only__legacy_trace,train_only,legacy_square_only,,2,4,qsvm,0.7058823529411765,0.6896551724137931,linear_c1,0.016227180527383367
train_only__legacy_trace,train_only,legacy_square_only,,3,4,qsvm,0.8,0.6363636363636364,linear_c1,0.1636363636363637
train_only__legacy_trace,train_only,legacy_square_only,,4,4,qsvm,0.8125,0.7857142857142857,linear_c1,0.0267857142857143
train_only__legacy_trace,train_only,legacy_square_only,,5,4,qsvm,0.8148148148148148,0.8461538461538461,linear_c1,-0.031339031339031376
train_only__legacy_trace,train_only,legacy_square_only,,6,4,qsvm,0.9166666666666666,0.8181818181818182,linear_c1,0.0984848484848484
train_only__legacy_trace,train_only,legacy_square_only,,7,4,qsvm,0.7619047619047619,0.7058823529411765,linear_c1,0.056022408963585346
train_only__legacy_trace,train_only,legacy_square_only,,8,4,qsvm,0.8148148148148148,0.6666666666666666,linear_c1,0.14814814814814814
train_only__legacy_trace,train_only,legacy_square_only,,9,4,qsvm,0.88,0.7619047619047619,linear_c1,0.11809523809523814
train_only__legacy_trace,train_only,legacy_square_only,,0,4,qsvm,0.8181818181818182,0.8181818181818182,rbf_tuned,0.0
